,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
0,Aqgromalin,Chennai,AgriTech,Angel investors,200000.0,,2020
1,Krayonnz,Bangalore,EdTech,GSF Accelerator,100000.0,Pre-seed,2020
2,PadCare Labs,Pune,Hygiene management,Venture Center,,Pre-seed,2020
3,NCOME,Delhi,Escrow,"Venture Catalysts, PointOne Capital",400000.0,,2020
4,Gramophone,Indore,AgriTech,"Siana Capital Management, Info Edge",340000.0,,2020
5,qZense,Bangalore,AgriTech,"Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020
6,MyClassboard,Hyderabad,EdTech,ICICI Bank.,600000.0,Pre-series A,2020
7,Metvy,Gurgaon,Networking platform,HostelFund,,Pre-series,2020
8,Rupeek,Bangalore,FinTech,"KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020
9,Gig India,Pune,Crowdsourcing,"Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020
10,Slurrp Farm,Gurgaon,Food & Bevarages,Fireside Ventures,2000000.0,Series A,2020
11,Medfin,Bangalore,HealthTech,"Axilor Ventures, S.D. Shibulal",,Series A,2020
12,MasterG,Delhi,Fashion startup,Acumen Fund's angel programme,,,2020
13,Brila 91,Delhi,Food & Bevarages,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,,2020
14,FoodyBuddy,Belgaum,Food Industry,Rebel Foods,600000.0,,2020
15,Zomato,Gurgaon,Food Delivery,"Kora, Tiger Global Management",660000000.0,,2020
16,OurEye.ai,Bangalore,Virtual auditing startup,"100X VC, Amara Ventures",120000.0,,2020
17,Shiprocket,Gurugram,E-commerce,"Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020
18,Pine Labs,Noida,FinTech,"Mastercard, Temasek Holdings",,,2020
19,Moneyboxx Finance,Delhi,FinTech,"BlackSoil, Caspian",1000000.0,,2020
20,EWar,Bangalore,Gaming,"Jindal Steels, Jeet Banerjee",,Pre-series A,2020
21,SucSEED Indovation,Hyderabad,FinTech,,5000000.0,,2020
22,TaxBuddy.com,Mumbai,FinTech,Zenith Global,1000000.0,,2020
23,Awign Enterprises,Bangalore,Work fulfillment,"Unitus Ventures, Work10M",500000.0,,2020
24,Circle of Angels,Gurgaon,FinTech,,3000000.0,,2020
25,CoinDCX,Mumbai,FinTech,"Coinbase Ventures, Polychain",10000000.0,Series B,2020
26,Glance,Bangalore,AI startup,Mithril Capital Management.,145000000.0,,2020
27,VerSe Innovation,Bangalore,Telecommunication,Google,100000000.0,,2020
28,Voosh,Bangalore,Food Industry,Better Capital,,Pre-seed,2020
29,Delhivery,Gurgaon,E-commerce,"Steadview Capital, Canada Pension Plan Investment Board",,,2020
30,Arya,Noida,AgriTech,Quona Capital,21000000.0,Series B,2020
31,Pickrr,Delhi,Logistics,Swastika,4000000.0,,2020
32,PhonePe,Andheri,FinTech,"Flipkart, Walmart",20000000.0,,2020
33,Countingwell,Bangalore,EdTech,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020
34,Callify.ai,Mumbai,Tech Startup,Malpani Ventures,560000.0,Seed,2020
35,Hudle,Delhi,Sports,Survam Partners,,Pre-series A,2020
36,Cover it Up,Chennai,E-commerce,Angel investors,400000.0,Seed,2020
37,BiteSpeed,Gurgaon,E-commerce,Whiteboard Capital,275000.0,Seed,2020
38,WakeFit,Bangalore,Retail,Sequoia Capital.,20000000.0,Series B,2020
39,Sreyas Holistic Remedies,Hyderabad,Medtech,Blacksoil,1000000.0,,2020
40,Fleeca India,Jaipur,Tyre management,Bridgestone India,,,2020
41,M1xchange,Gurgaon,FinTech,"BEENEXT, Mayfield Fund",4500000.0,,2020
42,Exotel,Bangalore,Cloud company,"A91 Partners, Artha India Ventures",5000000.0,,2020
43,PagarBook,Bangalore,Software company,"Sequoia Capital, India Quotient",15000000.0,Series A,2020
44,PointOne Capital,Bangalore,Venture capitalist,,,,2020
45,Ayana,Bangalore,Renewable player,"NIIF Ltd, CDC Group",390000000.0,,2020
46,Fisdom,Bangalore,FinTech,"PayU Finance India, Quona Capital",7000000.0,,2020
47,Tinker Coders,Noida,EdTech,STEMROBO Technologies,,Seed,2020
48,Infinite Uptime,Pune,IoT startup,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020
49,HappyLocate,Bangalore,SaaS startup,The CoWrks Foundry,500000.0,Pre-series A,2020
50,PhonePe,Delhi,FinTech,Flipkart,700000000.0,,2020
51,Loop Health,Pune,HealthTech,"Y Combinator, Sierra Ventures",2300000.0,Seed,2020
52,NeoDocs,Mumbai,HealthTech,9Unicorns Accelerator Fund,,Pre-seed,2020
53,The ePlane,Chennai,Aero company,Speciale Invest,,Seed,2020
54,TagMango,Mumbai,Marketing company,"XRM Media, Kevin Lin",700000.0,Seed,2020
55,The New Shop,Delhi,Retail startup,Huddle Accelerator,500000.0,Seed,2020
56,MobiKwik,Gurgaon,FinTech,"Hindustan Media Venture, Nicolas Jarrosson",7000000.0,,2020
57,DebugsBunny,Pune,EdTech,India Angel Fund,100000.0,,2020
58,BHIVE Investech,Bangalore,Co-working Startup,Blume Ventures,1000000.0,Seed,2020
59,Rivigo,Gurugram,Logistics,"Elevation Capital, Trifecta Capital Advisors",19000000.0,,2020
60,ZipLoan,Delhi,Finance company,"Stride Ventures, Matrix Partners India",3000000.0,,2020
61,Swipez,Pune,FinTech,"9Unicorns, Anicut",,,2020
62,Humus,Bangalore,AgriTech,"Venture Catalysts, 9Unicorns, We Founders Circle.",,,2020
63,Artivatic.ai,Bangalore,Tech company,"SenseAI Ventures, Saurabh Chugh",,,2020
64,Prescinto,Ahmedabad,Solar Monitoring Company,"Startup incubator, Accelerator Venture Catalysts",,Seed,2020
65,Toppeq,Mumbai,SaaS startup,,,Seed,2020
66,Bolo Indya,Gurgaon,Video sharing platform,"India Accelerator, Sunil Kamath",400000.0,,2020
67,Bombay Play,Bangalore,Gaming startup,"Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020
68,FreshToHome,Bangalore,E-commerce,Investment Corporation of Dubai (ICD),,,2020
69,KIKO TV,Mumbai,Video streaming platform,"9Point8 Capital, Sunil Kumar Singhvi",,Seed,2020
70,Atomberg Technologies,Mumbai,Consumer appliances,"Sandeep Tandon, Survam Partners",9000000.0,Series B,2020
71,DealShare,Jaipur,E-commerce,"Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020
72,Smallcase,Bangalore,FinTech,"WEH Ventures, BEENEXT",,,2020
73,CueMath,Bangalore,EdTech,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020
74,Gamerji,Ahmedabad,Gaming startup,La Gajjar Group.,,Seed,2020
75,5C Network,Bangalore,HealthTech,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020
76,Ethereum Push Notification Service,Mumbai,Blockchain startup,Prolific angel investors,750000.0,Seed,2020
77,Mihup,Kolkata,Conversational AI platform,"Ideaspring Capital, Accel",1500000.0,Series A,2020
78,RuralBasket,Tirunelveli,E-commerce,Nativelead Foundation,500000.0,,2020
79,WayCool Foods,Chennai,AgriTech,"FMO, IndusInd Bank",7800000.0,Debt,2020
80,Infra.Market,Thane,Real Estate,"Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020
81,Info Edge Venture,Noida,Venture capitalist,Lightbox,50000000.0,,2020
82,Clovia,Noida,E-commerce,"Golden Birch Investments, She Capital",4000000.0,Pre-series C,2020
83,Codingal,Bangalore,EdTech,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020
84,CRED,Bangalore,Finance company,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020
85,Vistaar Finance,Bangalore,Finance company,FMO,30000000.0,,2020
86,Let's Dive,Bangalore,SaaS platform,Surge,1700000.0,,2020
87,Habitat,Chennai,EdTech,"Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020
